64;1460;2000;1;MNWST;0
64;1460;2000;1;MNWST;0
128;1460;65535;1;MNWST;0
128;1460;2000;1;MNWST;0
128;1468;2000;1;MNWST;0
128;1428;2000;1;MNWST;0
128;1460;2000;1;MNWST;0
128;65495;65160;1;MST;0
128;1340;17420;0;MNWNNTNNS;1
128;1340;17420;0;MNWNNTNNS;1
128;1460;64512;0;MNNTNNS;1
128;1118;4182;0;MNWNNTNNS;1
128;1460;2000;1;MNWST;2
128;1368;2000;1;MNWST;2
128;1260;65535;1;MNWST;3
64;1452;1680;1;MSTNW;4
64;1460;3890;1;MSTNW;5
64;1416;5792;0;MSTNW;4
64;1460;2896;0;MSTNW;6
64;1460;5792;1;MSTNW;4
64;16396;32767;1;MNNTNW;7
64;1366;5792;1;MSTNW;4
64;1368;5792;1;MSTNW;4
64;16396;32767;1;M;8
64;1460;5792;1;MSTNW;4
128;1460;65535;1;M;9
128;1460;65535;1;MNW;9
128;1460;65535;1;MNNS;9
128;1460;65535;1;MNNT;9
128;1460;65535;1;MNWNNS;9
128;1460;65535;1;MNWNNT;9
128;1460;65535;1;MNNTNNS;9
128;1460;65535;1;MNWNNTNNS;9
128;1460;8192;1;M;2
128;1460;8192;1;MST;2
128;1460;8192;1;MNW;2
128;1460;8192;1;MNNT;2
128;1460;8192;1;MNWST;2
128;1460;8192;1;MNWNNT;2
128;1460;8192;1;MNWNNS;2
64;1460;65535;1;MNW;10
64;1460;65535;1;MSE;10
64;1460;65535;1;MNNT;10
64;1460;65535;1;MNWSE;10
64;1460;65535;1;MNWNNT;10
64;1460;65535;1;MNNTSE;10
64;1460;65535;1;MNWNNTSE;10
64;1460;65535;1;MNWNNTSLL;11
64;1460;65535;0;MNWNNTSLL;11
64;1460;65535;0;MNWNNTSLL;11
64;1460;65535;0;MNWNNTSLL;11
64;1410;65535;0;MNWNNTSLL;11
