64;1460;2000;1;MNWST;windows10
64;1460;2000;1;MNWST;windows10
128;1460;65535;1;MNWST;windows10
128;1460;2000;1;MNWST;windows10
128;1468;2000;1;MNWST;windows10
128;1428;2000;1;MNWST;windows10
128;1460;2000;1;MNWST;windows10
128;65495;65160;1;MST;windows10
128;1340;17420;0;MNWNNTNNS;windows2000
128;1340;17420;0;MNWNNTNNS;windows2000
128;1460;64512;0;MNNTNNS;windows2000
128;1118;4182;0;MNWNNTNNS;windows2000server
128;1460;2000;1;MNWST;windows7
128;1368;2000;1;MNWST;windows7
128;1260;65535;1;MNWST;windows8
64;1452;1680;1;MSTNW;linux2.6
64;1460;3890;1;MSTNW;linux3.4
64;1416;5792;0;MSTNW;linux2.6
64;1460;2896;0;MSTNW;linux3.6
64;1460;5792;1;MSTNW;linux2.6
64;16396;32767;1;MNNTNW;linux2.4
64;1366;5792;1;MSTNW;linux2.6
64;1368;5792;1;MSTNW;linux2.6
64;16396;32767;1;M;ubuntu6
64;1460;5792;1;MSTNW;linux2.6
128;1460;65535;1;M;windowsxp
128;1460;65535;1;MNW;windowsxp
128;1460;65535;1;MNNS;windowsxp
128;1460;65535;1;MNNT;windowsxp
128;1460;65535;1;MNWNNS;windowsxp
128;1460;65535;1;MNWNNT;windowsxp
128;1460;65535;1;MNNTNNS;windowsxp
128;1460;65535;1;MNWNNTNNS;windowsxp
128;1460;8192;1;M;windows7
128;1460;8192;1;MST;windows7
128;1460;8192;1;MNW;windows7
128;1460;8192;1;MNNT;windows7
128;1460;8192;1;MNWST;windows7
128;1460;8192;1;MNWNNT;windows7
128;1460;8192;1;MNWNNS;windows7
64;1460;65535;1;MNW;macos10
64;1460;65535;1;MSE;macos10
64;1460;65535;1;MNNT;macos10
64;1460;65535;1;MNWSE;macos10
64;1460;65535;1;MNWNNT;macos10
64;1460;65535;1;MNNTSE;macos10
64;1460;65535;1;MNWNNTSE;macos10
64;1460;65535;1;MNWNNTSLL;ios10
64;1460;65535;0;MNWNNTSLL;ios11
64;1460;65535;0;MNWNNTSLL;ios4
64;1460;65535;0;MNWNNTSLL;ios5
64;1410;65535;0;MNWNNTSLL;ios6
